"","aou","latitude","yearXlatitude","bcr"
"90",7490,1.55230589027559,0.00831684064608159,"Northern Pacific Rainforest"
"91",5140,0,0,"Northern Pacific Rainforest"
"92",3091,0,-0.0220989297417464,"Northern Pacific Rainforest"
"93",3600,-1.44978770790501,0.0155453832392469,"Northern Pacific Rainforest"
"94",4200,-0.523841562408583,0,"Northern Pacific Rainforest"
"95",4540,-7.35617124673952,0.0391742081940879,"Northern Pacific Rainforest"
"96",4470,-1.71097829066713,0,"Northern Pacific Rainforest"
"97",5830,1.81572394481982,0.00743346105338476,"Northern Pacific Rainforest"
"98",4310,-6.83598519569089,0.116096152167232,"Northern Pacific Rainforest"
"99",7670,-4.81099268275636,0.0439823997834411,"Northern Pacific Rainforest"
"100",22860,0,0,"Northern Pacific Rainforest"
"101",4690,-0.790730050951365,0,"Northern Pacific Rainforest"
"102",7270,-2.58983102469062,-0.0249511068554173,"Northern Pacific Rainforest"
"103",4580,-8.077847885299,0.0815821578027941,"Northern Pacific Rainforest"
"104",4840,0,0,"Northern Pacific Rainforest"
"105",5911,-6.88398612737164,-0.0684147135585484,"Northern Pacific Rainforest"
"106",6240,0,0.0172489442455661,"Northern Pacific Rainforest"
"107",2300,0.947694561092743,0,"Northern Pacific Rainforest"
"108",7250,-1.42823403418268,0.0269246095542719,"Northern Pacific Rainforest"
"109",7540,-0.784120052456024,0,"Northern Pacific Rainforest"
"110",7380,-2.45233561715521,0,"Northern Pacific Rainforest"
"111",1440,0,0,"Northern Pacific Rainforest"
"112",4340,-9.0968781072131,0.0694508076066465,"Northern Pacific Rainforest"
"113",6110,-2.8705001417161,0.0373245448875506,"Northern Pacific Rainforest"
"114",4661,3.43957675703854,0,"Northern Pacific Rainforest"
"115",7330,-6.6710579027555,0,"Northern Pacific Rainforest"
"116",2010,0,0,"Northern Pacific Rainforest"
"117",3100,-2.7341846928478,0,"Northern Pacific Rainforest"
"118",70,1.17032500586145,0,"Northern Pacific Rainforest"
"119",5520,-4.58527726059531,0,"Northern Pacific Rainforest"
"120",7010,0,0,"Northern Pacific Rainforest"
"121",3390,-5.21974292548408,0,"Northern Pacific Rainforest"
"122",3310,0,0,"Northern Pacific Rainforest"
"123",4220,1.75182213386785,-0.0287369106294442,"Northern Pacific Rainforest"
"124",3000,0.78738826393599,0,"Northern Pacific Rainforest"
"125",3790,-0.633757884105583,0,"Northern Pacific Rainforest"
"126",3330,0,0,"Northern Pacific Rainforest"
