"","aou","latitude","yearXlatitude","bcr"
"96",5140,0.53204190904632,0.00943889166332722,"Northern Rockies"
"97",5520,-1.75801410842245,0,"Northern Rockies"
"98",4330,1.34503323341054,0,"Northern Rockies"
"99",6160,0.712175171275718,-0.0250551632317838,"Northern Rockies"
"100",1290,0,0,"Northern Rockies"
"101",3091,0,-0.0167362285939071,"Northern Rockies"
"102",5850,0.487212354498188,0,"Northern Rockies"
"103",5190,-1.70125181621551,0.0287200414319983,"Northern Rockies"
"104",5610,1.03297368313763,0,"Northern Rockies"
"105",3490,-1.26354577368845,0,"Northern Rockies"
"106",3131,0,0,"Northern Rockies"
"107",6450,0,0.0213882969319471,"Northern Rockies"
"108",2640,0,0,"Northern Rockies"
"109",3940,0.320783435174516,0,"Northern Rockies"
"110",4661,3.08284051869295,0,"Northern Rockies"
"111",70,2.01166622234704,0,"Northern Rockies"
"112",2210,0,0,"Northern Rockies"
"113",4360,0,0,"Northern Rockies"
"114",6050,-3.5451710236511,0,"Northern Rockies"
"115",5738,-6.82359420875847,0,"Northern Rockies"
"116",3520,1.42296604031293,-0.0264254520192781,"Northern Rockies"
"117",5110,-1.97438128026161,0,"Northern Rockies"
"118",3420,-1.3835473807095,0,"Northern Rockies"
"119",3250,-1.04595615035868,0,"Northern Rockies"
"120",6830,0,0,"Northern Rockies"
"121",7260,0,0,"Northern Rockies"
"122",7250,0,0,"Northern Rockies"
"123",1410,-0.730427351497124,0,"Northern Rockies"
"124",7270,-0.542318268769539,0,"Northern Rockies"
"125",6220,-3.0858000433928,0,"Northern Rockies"
"126",1370,-0.489625534170622,0,"Northern Rockies"
"127",1350,-1.78991411505466,0.0190298170196407,"Northern Rockies"
"128",2940,-2.77914230139122,0.0580844758479801,"Northern Rockies"
"129",4940,0,0,"Northern Rockies"
"130",6470,3.00557514237721,0,"Northern Rockies"
"131",3750,0,0,"Northern Rockies"
"132",7010,0,0,"Northern Rockies"
"133",1490,0,0.0160535026843808,"Northern Rockies"
"134",2240,-1.10666860332578,0,"Northern Rockies"
"135",1500,0.886501327712064,0,"Northern Rockies"
"136",7670,0,0,"Northern Rockies"
"137",1400,0,0,"Northern Rockies"
"138",4240,0,0,"Northern Rockies"
"139",5580,5.50066837198853,0,"Northern Rockies"
"140",1390,-0.692095073860423,0,"Northern Rockies"
"141",4040,0,0,"Northern Rockies"
"142",7410,0.819195534594587,0,"Northern Rockies"
"143",60,0,0,"Northern Rockies"
"144",3480,-2.54568498018657,0.0210565216691587,"Northern Rockies"
"145",6570,4.27031492495089,0,"Northern Rockies"
"146",1520,1.0762411962558,0,"Northern Rockies"
"147",3090,-4.64858097187081,0,"Northern Rockies"
"148",22860,0,0,"Northern Rockies"
"149",20,0.996866299881608,0.0168649550369788,"Northern Rockies"
"150",5170,1.63558864427875,0,"Northern Rockies"
"151",5460,-1.20575326588124,0,"Northern Rockies"
"152",1250,-2.10390507377323,0,"Northern Rockies"
"153",3100,0,0,"Northern Rockies"
"154",3550,-1.8750650371627,0,"Northern Rockies"
